env,task,model,provider,memory_type,tw_difficulty,tw_level,env_name,agent_type,run_seed,episodes,successes,success_rate,success_rate_ci95_lower,success_rate_ci95_upper,success_std_episode_level,source_file,memory_type_from_filename,avg_steps_to_success,std_steps_to_success,avg_steps_all,std_steps_all,loop_rate,episodes_with_loop,loop_detector,truncation_rate,episodes_truncated,blocked_forward_rate,blocked_forward_steps,forward_attempt_steps,bfr_detector,blocked_forward_rate_explanation,fade_avg_active_facts,fade_std_active_facts,fade_avg_dormant_facts,fade_std_dormant_facts,fade_avg_fused_facts,fade_std_fused_facts,fade_avg_reactivations,fade_std_reactivations,fade_avg_priming_boosts,fade_std_priming_boosts,fade_avg_tag_triggers_fired,fade_std_tag_triggers_fired,fade_avg_tag_shields_expired,fade_std_tag_shields_expired,fade_avg_contradictions,fade_std_contradictions,fade_avg_compatible_resolved,fade_std_compatible_resolved,fade_avg_subsume_resolved,fade_std_subsume_resolved,fade_avg_fusions_performed,fade_std_fusions_performed,fade_episodes_with_memory_stats
babyai,Unlock,gpt-4o-mini,openai,baseline,,,BabyAI-Unlock-v0,baseline,0,30,0,0,0.0,0.113517091390478,0.0,rollout_baseline_BabyAIUnlockv0_20260401_020714_summary.json,baseline_BabyAIUnlockv0,,,80.0,0.0,0.9333333333333333,28,v1_streak5_osc6,1,30,0.7038834951456311,145,206,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Unlock,gemini-2.5-flash-lite,gemini,baseline,,,BabyAI-Unlock-v0,baseline,0,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,0.17950549357115014,rollout_baseline_BabyAIUnlockv0_20260401_141637_summary.json,baseline_BabyAIUnlockv0,5.0,0.0,77.5,13.46291201783626,0.9333333333333333,28,v1_streak5_osc6,0.9666666666666667,29,0.8368794326241135,236,282,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,GoToObj,deepseek-chat,deepseek,enriched,,,BabyAI-GoToObj-v0,enriched,0,30,4,0.13333333333333333,0.05309569424218104,0.2968168394441695,0.339934634239519,rollout_enriched_BabyAIGoToObjv0_20260331_134133_summary.json,enriched_BabyAIGoToObjv0,2.75,0.4330127018922193,55.833333333333336,20.82159669403115,0.8,24,v1_streak5_osc6,0.8666666666666667,26,0.0,0,7,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,GoToObj,gpt-4o-mini,openai,enriched,,,BabyAI-GoToObj-v0,enriched,0,30,4,0.13333333333333333,0.05309569424218104,0.2968168394441695,0.339934634239519,rollout_enriched_BabyAIGoToObjv0_20260401_015240_summary.json,enriched_BabyAIGoToObjv0,2.75,0.4330127018922193,55.833333333333336,20.82159669403115,0.7666666666666667,23,v1_streak5_osc6,0.8666666666666667,26,0.0,0,6,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,GoToObj,gemini-2.5-flash-lite,gemini,enriched,,,BabyAI-GoToObj-v0,enriched,0,30,25,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.37267799624996495,rollout_enriched_BabyAIGoToObjv0_20260403_133026_summary.json,enriched_BabyAIGoToObjv0,19.92,13.658462578196712,27.266666666666666,20.62350331269857,0.8333333333333334,25,v1_streak5_osc6,0.16666666666666666,5,0.042735042735042736,5,117,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Open,deepseek-chat,deepseek,enriched,,,BabyAI-Open-v0,enriched,0,30,3,0.1,0.034599259959716175,0.2562144131526662,0.3,rollout_enriched_BabyAIOpenv0_20260331_200427_summary.json,enriched_BabyAIOpenv0,7.666666666666667,4.109609335312651,72.76666666666667,21.73887966038933,0.8666666666666667,26,v1_streak5_osc6,0.9,27,0.8985507246376812,124,138,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Open,gpt-4o-mini,openai,enriched,,,BabyAI-Open-v0,enriched,0,30,3,0.1,0.034599259959716175,0.2562144131526662,0.3,rollout_enriched_BabyAIOpenv0_20260401_045502_summary.json,enriched_BabyAIOpenv0,5.333333333333333,2.0548046676563256,72.53333333333333,22.409422621348863,0.7,21,v1_streak5_osc6,0.9,27,0.883248730964467,174,197,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Open,gemini-2.5-flash-lite,gemini,enriched,,,BabyAI-Open-v0,enriched,0,30,6,0.2,0.09504978102401235,0.37306047381027446,0.4,rollout_enriched_BabyAIOpenv0_20260401_144133_summary.json,enriched_BabyAIOpenv0,16.166666666666668,16.856419812311536,67.23333333333333,26.622901586583097,0.9,27,v1_streak5_osc6,0.8,24,0.6409495548961425,216,337,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Pickup,deepseek-chat,deepseek,enriched,,,BabyAI-Pickup-v0,enriched,0,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,0.17950549357115014,rollout_enriched_BabyAIPickupv0_20260331_213138_summary.json,enriched_BabyAIPickupv0,10.0,0.0,77.66666666666667,12.565384549980509,0.9,27,v1_streak5_osc6,0.9666666666666667,29,0.8940397350993378,135,151,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
babyai,Pickup,gpt-4o-mini,openai,enriched,,,BabyAI-Pickup-v0,enriched,0,30,2,0.06666666666666667,0.018476635327693364,0.2132381772107209,0.24944382578492943,rollout_enriched_BabyAIPickupv0_20260401_051506_summary.json,enriched_BabyAIPickupv0,32.5,28.5,76.83333333333333,13.947719845511985,0.5666666666666667,17,v1_streak5_osc6,0.9333333333333333,28,0.9554455445544554,386,404,v1_go_forward_grid_pos_unchanged,,,,,,,,,,,,,,,,,,,,,,,,
